"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6285"," In Production "," Yes"," Linear Op Amps"," 2"," 5000"," 450"," 570"," 3000"," ""2.2 - 6.0"""," 16"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 2.5","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.60"
"MCP6V81"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 5000"," 500"," 770"," 9"," ""2.2 - 5.5"""," 13"," 117"," 118"," 0.02"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 4"," Yes"," 5/SOT-23","$0.92"
"MCP6V81U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 5000"," 500"," 770"," 9"," ""2.2 - 5.5"""," 13"," 117"," 118"," 0.02"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 4"," Yes"," 5/SOT-23 5/SC-70","$0.92"
"MCP6284"," In Production "," Yes"," Linear Op Amps"," 4"," 5000"," 445"," 570"," 3000"," ""2.2 - 6.0"""," 16"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 2.5","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.04"
"MCP6V82"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 5000"," 500"," 770"," 9"," ""2.2 - 5.5"""," 13"," 117"," 118"," 0.02"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 4"," Yes"," 8/MSOP 8/TDFN","$1.40"
"MCP6V84"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 5000"," 500"," 770"," 9"," ""2.2 - 5.5"""," 13"," 117"," 118"," 0.02"," 2"," 126"," 60"," 40"," In/Out"," Yes"," 4"," Yes"," 14/TSSOP","$2.49"
"MCP6H81"," In Production "," Yes"," Linear Op Amps"," 1"," 5500"," 700"," 1300"," 4000"," ""3.5 - 12"""," 12"," 102"," 100"," 2.5"," 10"," 120"," 60"," 55"," Out"," Yes"," 5","  "," 8/SOIC 150mil 8/TDFN","$0.63"
"MCP6H82"," In Production "," Yes"," Linear Op Amps"," 2"," 5500"," 700"," 1300"," 4000"," ""3.5 - 12"""," 12"," 102"," 100"," 25"," 10"," 120"," 60"," 55"," Out"," Yes"," 5","  "," 8/SOIC 150mil 8/TDFN","$0.82"
"MCP6H84"," In Production "," Yes"," Linear Op Amps"," 4"," 5500"," 700"," 1300"," 4000"," ""3.5 - 12"""," 12"," 102"," 100"," 2.5"," 10"," 120"," 60"," 55"," Out"," Yes"," 5","  "," 14/TSSOP 14/SOIC 150mil","$1.11"
"MCP6491"," In Production "," Yes"," Linear Op Amps"," 1"," 7500"," 530"," 800"," 1500"," ""2.4 - 5.5"""," 14"," 90"," 88"," 2.5"," 1"," 115"," 57"," 40"," In/Out"," Yes"," 6","  "," 5/SOT-23 5/SC-70","$0.44"
